id_cliente,parent_id,num_pedidos,volumepedidos,volumecompras
239,,17,1617.94,
239,46,1,0.01,
239,65,3,93.11,
239,147,6,280.8,
239,325,1,4.5,
240,,1,28.9,
240,378,1,24.0,
243,378,1,13.45,
249,,1,92.0,
249,147,3,89.9002,
249,378,7,1927.0,
258,65,1,158.4,
258,147,1,532.2,
258,255,1,2.49,
258,378,10,4096.8,
259,,6,450.88,246.98
259,65,16,35126.2612,23896.2812
259,99,3,355.850065,262.750065
259,147,8,698.2712,303.5112
259,378,16,11668.0,2639
261,54,1,77.5,
261,147,1,264.6,
261,378,1,93.6,
264,99,1,417.6,
264,378,1,396.0,396
280,,1,13.0,
280,378,1,218.4,
281,,4,230.54995,167.62995
281,18,1,7.9,7.9
281,54,1,15.54,15.54
281,65,5,964.2504,761.3016
281,99,5,1653.159965,1535.509965
281,147,11,1848.81,1486.59
281,255,1,16.9,16.9
281,378,6,516.165,422.61
285,378,1,10890.0,
286,378,2,2302.5,
289,,2,33.6024,
289,378,3,754.0,
292,,7,493.5412,489.0912
292,18,1,231.4,
292,46,1,8.2,
292,65,3,170.5437,132.9525
292,99,9,236.5584,180.5592
292,147,11,1027.205,837.783
297,54,1,2.64,
297,378,2,159.6,
298,378,3,6053.8,
300,46,1,18.0,
300,147,1,814.0,
302,147,1,59.6,
302,378,1,175.0,
303,147,1,10.4,
308,18,1,239.56,
308,378,1,100.3,
309,,2,5622.2195,
309,65,4,1702.7169,
309,147,2,307.27,
309,325,1,32.5008,
310,378,2,996.0,498
316,,3,1552.8,
316,378,1,360.0,
326,,2,449.0,
332,,1,2.29,
332,378,1,325.9,
333,,1,410.0,
333,378,1,995.0,
335,147,1,75.8,
337,147,2,797.0,
345,,6,39.34,
345,147,9,256.14,
345,378,6,1760.65,
354,147,1,4.38,
362,378,1,59.4,
366,54,1,3.13,
366,65,1,4.46,
366,99,3,842.68,383.76
366,147,2,5.52,
367,147,1,43.5,
368,147,1,612.5,
370,,2,77.23,
370,18,1,41.1,
370,65,1,99.6504,
370,147,3,174.8,
370,325,2,8.8,
370,378,2,620.8,
372,,9,1723.59,
372,18,2,87.0,
372,46,2,78.0,
372,54,1,17.0,
372,65,2,50.1,
372,99,1,45.03,
372,147,19,604.75,
372,325,1,4.25,
372,378,6,1497.31,
373,147,2,623.4,
376,18,1,162.0,
380,54,6,19.2,
380,99,2,133.14,
380,147,3,246.22,
391,,1,139.5,139.5
393,,1,27.9,
393,378,2,459.3,
394,,12,2150.0,196
394,99,2,258.46,
394,378,20,10887.64,262.8
395,,7,2664.492,
395,65,2,895.488,
395,147,1,21.8,
395,378,2,1008.0,
396,,1,121.5,
396,147,1,363.9,
396,378,3,1043.7,
398,,1,4.57,
398,54,2,29.57,
398,65,1,9.12,
398,147,2,48.45,
398,255,1,34.06,
403,99,1,528.0,
403,378,1,412.5,
404,378,7,2773.6,
405,99,1,528.0,
409,378,1,415.0,
410,54,2,143.2,
410,65,1,78.6,
413,,9,2975.36,168
413,65,3,141.56,
413,99,4,370.32,
413,147,13,308.8396,
413,378,28,11981.98,1006.0
414,,3,511.0,
414,18,1,108.0,
414,54,1,77.82,
414,65,2,1097.88,
414,147,1,159.5,
414,378,1,2754.0,
420,,1,74.9,
429,,1,147.7206,
429,65,1,24.78,
431,,33,3367.0085,78.12
431,18,16,1030.4616,
431,54,7,141.3,
431,65,8,1367.38,
431,99,7,805.08,
431,147,87,6301.8674,136.52
431,255,1,5.5,
431,378,53,12216.6619,608.45
434,,2,72.21,
434,46,1,210.0,
434,65,1,15.84,
434,147,3,41.3,
440,147,1,2445.0,
442,,1,172.5,
442,46,1,84.5,
442,147,1,115.0,
442,378,2,1702.0,
443,65,3,3442.3,1614
443,147,3,1710.18,
443,378,1,415.0,
456,,10,2057.6688,31.3344
456,65,12,1605.438,308.4
456,99,1,33.115,
456,147,9,1834.94,210.4
456,378,8,2188.2,216.6
459,99,1,53.5491,
459,147,1,15.8,
465,,7,65.19,
465,18,3,49.97,
465,65,5,182.8996,
465,99,1,44.85,
465,147,52,16458.14,
465,325,1,8.7,
465,378,11,8358.46,
465,379,5,185.3712,
468,18,1,1524.1,
469,99,1,67.8996,
470,,3,665.12,
470,65,2,361.44,
470,147,2,626.13,
470,378,2,1305.84,
471,378,1,544.6,
477,,66,5499.2905,
477,18,2,36.14,
477,46,2,6.5,
477,54,2,2.64,
477,65,41,8246.401,
477,99,51,2748.49195,
477,147,178,18022.5686,
477,255,14,93.22,
477,325,10,77.1,
477,378,29,5352.235,
482,,1,42.0,
486,,19,2072.5994,
486,46,2,67.8,
486,65,11,1449.0508,
486,99,1,2.85,
486,147,38,6811.8812,
486,255,1,1252.26,
486,325,2,168.9,
486,378,9,1746.11,
488,,1,275.0,
488,147,2,60.14,
488,378,7,2342.2,360
489,99,1,127.62,
489,147,1,15.62,
492,54,1,227.0,
493,99,1,46.55,
494,65,1,67.7208,
495,147,1,3.65,
496,54,1,18.96,
496,147,1,40.7,
496,255,1,124.8,
508,378,2,1154.0,
511,147,1,18.95,
514,65,15,372.06,
517,,1,70.47,
517,378,1,200.0,
518,147,1,14.37,
522,,21,698.06,
522,54,17,124.78,
522,65,10,289.46,
522,147,37,3043.1899,
522,378,22,26091.7352,
524,147,1,16.69,
527,,1,1180.0,
527,378,2,598.6,
534,,1,655.0,
534,378,1,274.8,
540,378,2,769.8,
541,99,2,253.08,
541,147,1,912.0,
546,54,2,18.12,
546,255,3,671.52,445.98
546,378,1,41.8,
551,99,1,28.18,
551,378,1,274.32,
556,147,7,9194.71,
556,378,1,1180.0,
561,99,3,68.8892,
561,147,8,782.29,
561,255,1,43.75,
564,65,4,1486.992,
564,147,3,1153.93,
564,378,1,675.0,
565,,3,2713.322,
565,58,1,20.69,
565,65,2,70.9,
565,147,1,89.63,
565,378,2,2665.36,
567,378,1,156.0,
568,65,1,385.2,
568,147,1,37.9,
568,378,2,1012.2,
572,54,1,195.0,
572,65,5,4879.6164,4879.6164
572,147,3,2663.05,
572,378,1,1082.472,1082.472
574,,5,558.5435,
574,65,3,184.7412,
574,99,4,922.2102,
574,147,8,376.69,
574,378,1,450.0,
575,,1,100.5,
575,54,1,9.66,
575,147,2,264.49,
575,378,4,3354.0,1994
576,,1,130.0,
576,147,1,1199.5,
578,,1,62.5,
580,378,1,142.2,
581,,2,182.0,
582,,12,598.94,42
582,54,7,124.08,
582,65,2,46.4304,
582,147,15,742.8002,
582,378,5,3339.8,
582,585,1,58.25,
583,,6,338.1602,
583,18,1,12.8,
583,99,3,139.0696,
583,147,32,957.6296,
585,,3,461.192,
585,54,3,181.93,
585,65,2,414.9,
585,99,1,552.0,
585,147,1,18.5,
586,,1,87.0,
586,18,1,57.31,
586,54,1,22.57,
586,378,1,627.5,
593,,7,926.5,
593,147,2,388.9,
593,255,1,123.48,
593,378,15,5385.28,
594,147,1,50.91,
595,,2,328.42,
595,99,1,48.8,
595,147,1,123.48,
596,99,1,12.6,
596,147,3,1132.45,
597,147,1,28.33,
597,378,1,209.0,
598,,1,512.5,512.5
598,378,10,4475.3,1014.4
599,,2,157.34,
599,65,9,1185.8296,
599,147,5,516.78,
599,378,1,591.0,
600,147,8,7170.25,
606,,2,3294.9,
606,54,1,61.54,
611,65,1,25.92,
611,147,1,3.38,
613,,3,151.3,
613,65,1,159.4998,
613,99,2,360.51,
613,147,3,243.22,
617,,1,20.0,
620,54,1,5.28,
622,65,2,75.7404,
641,,52,10458.1221,
641,18,2,25.0,
641,46,1,10.9,
641,54,8,271.94,
641,58,2,967.25,
641,65,32,7529.5425,
641,99,6,252.49,
641,147,53,3876.7094,
641,255,3,23.68,
641,325,2,11.4,
641,378,50,22600.026,
641,379,1,32.2,
642,,1,138.72,
657,,1,8.49,
657,65,1,30.45,
657,99,2,100.1696,
657,147,4,125.9688,
657,378,1,52.9,
668,147,1,154.7,
670,,10,2614.43,
670,54,2,14.77,
670,65,25,3287.3582,
670,99,30,7219.08,
670,147,60,8605.8874,
670,325,1,17.4,
670,378,44,22704.5,
673,,6,1247.17,96.44
673,46,1,7.2,
673,54,1,4.8,
673,65,21,1421.1804,103.68
673,147,8,441.8325,
673,378,15,5583.25,222
675,,1,73.7,
675,378,1,357.5,
676,54,2,270.5,
679,147,3,41.41,
684,378,1,1160.0,
695,,2,622.0,
695,65,2,147.108,
695,378,4,1117.28,
697,65,2,384.96,
698,,2,291.4,
698,18,2,50.8,
698,54,2,290.8,
698,255,2,4046.0,
705,,1,75.7596,
705,147,1,16.9,
705,378,4,476.76,
707,,1,7.49,
707,147,1,109.86,
709,99,1,480.0,
709,378,1,212.0,
711,147,1,78.75,
714,378,1,200.6,
715,54,1,12.97,
715,99,2,2443.2,
715,147,1,163.0,
717,,1,2200.0,
717,99,1,480.0,
717,147,2,1588.74,
717,378,1,637.6,
719,378,1,399.0,
723,54,1,52.8,
723,65,2,178.41,
723,147,3,168.88,
727,99,1,1901.412,
727,147,2,10928.18,
731,147,2,45.57,
733,147,2,618.8,
733,378,1,1100.0,
734,,1,84.0,
735,54,1,6.5,
735,65,1,32.28,
735,147,3,257.66,
735,378,1,285.0,
751,147,1,21.69,
760,,1,87.6,
760,147,4,248.2404,
762,,44,6964.1336,
762,18,9,1579.11,
762,46,6,210.28,
762,54,24,6162.6596,
762,65,16,3657.8623,
762,99,17,9352.298,
762,147,61,21365.7236,
762,255,7,2802.04,
762,378,22,22060.6,
768,,1,12.9,
768,65,7,754.52,
768,378,1,120.0,
778,,1,15.49,
778,147,1,42.5,
789,18,1,69.2,
789,54,1,26.25,
792,,2,93.0,
795,147,1,112.0,
800,147,1,23.0,
800,378,1,222.0,
801,,3,965.9,
801,65,2,763.9488,
801,378,1,504.0,
803,,1,280.8,
804,147,1,5.96,
809,378,1,8390.0,
810,65,1,4.9,
811,,3,1810.0,
811,147,7,716.1,
811,378,6,2743.3,
812,147,1,185.6,
813,147,1,218.4,
813,378,2,1409.0,
816,,8,2876.311,
816,54,2,410.12,
816,65,4,3745.3972,
816,99,1,225.15,
816,147,7,1462.3805,
816,255,2,3293.96,
816,378,7,3894.2595,291.2
822,,1,8.49,
822,147,2,305.8,
823,378,1,560.0,
828,54,3,194.62,
828,99,1,484.8,
828,378,3,1415.0,
833,,10,561.71,
833,18,7,298.62,
833,46,1,2.3,
833,54,20,899.75,
833,65,3,105.8106,
833,147,1,45.88,
833,255,3,287.41,
843,,1,1800.0,
843,378,1,48.0,
844,147,3,266.67,
846,378,1,620.0,
849,147,1,208.8,
858,147,1,182.1,
859,,8,3995.282,
859,18,1,243.23,
859,54,2,1267.0,
859,65,3,6688.842,
859,99,1,468.504,
859,147,7,3525.42,
859,255,1,242.16,
859,378,2,13190.0,
863,147,1,298.8,
871,378,1,8266.8,
879,65,2,609.612,
884,54,1,31.68,
884,65,1,4930.02,
886,,1,9.75,
886,65,2,269.3208,
886,99,1,63.3804,
886,147,2,124.81,
892,,2,522.8,
892,99,2,198.04,
892,378,1,818.75,
902,,11,685.5404,
902,18,8,417.35,
902,46,2,26.19,
902,54,5,324.53,
902,65,3,281.062,
902,147,18,961.9902,
902,378,3,1073.97,
905,65,2,5440.008,
905,99,1,42.3996,
905,147,2,86.75,
905,378,2,1532.0,
915,,4,255.29,
915,147,10,580.92,
919,,1,7.95,
919,147,1,5.33,
919,378,2,2567.1,
920,,17,10315.089,9724.371
920,65,2,811.2,811.2
920,147,6,2146.3792,1978.6492
921,378,1,2286.6,
928,65,1,169.9896,
930,,1,46.32,
934,,1,30.99,
934,54,1,2.64,
934,99,2,113.39,
934,147,1,27.24,
934,378,3,421.33,
935,,3,2137.0,
935,54,1,66.9,
935,65,2,250.0008,
935,378,4,3007.05,
938,,3,835.5,
938,46,1,3078.0,
938,54,3,306.73,
938,65,10,3603.9636,
938,147,11,5474.715,
938,255,1,22.99,
938,325,2,115.6,
938,378,12,7254.6,
939,,3,61.55,8.76
939,54,1,16.9,
939,99,1,41.55,41.55
939,147,2,419.768,214.8
940,,7,478.3,
940,65,4,187.32,
940,147,4,951.8406,
940,325,1,41.55,
940,378,3,815.1,
951,18,2,3758.6,
951,65,1,2352.9704,
951,147,5,106.8172,
951,378,2,502.55,
955,,2,119.4236,
955,147,5,647.0201,
955,378,3,907.62,
956,54,1,1193.0,
956,147,1,97.39,
960,147,2,7203.0,
964,65,1,51.4992,
965,65,1,25.92,
965,99,1,2455.2,
965,147,1,82.0002,
966,,2,45.9,
966,54,1,77.82,
966,147,2,122.0,
966,325,2,80.0,
966,378,7,1175.8,
969,378,1,1414.59,
973,,3,25.73,
973,65,1,101.4,101.4
973,99,2,61.7592,
973,147,14,703.4386,223.1518
973,378,1,26.48997,
974,147,5,165.95,75.56
974,378,17,6248.2,3955.1
976,147,2,63.0048,57.2048
976,378,4,779.75,779.75
984,,1,15.37,15.37
984,147,3,73.7296,50.7248
984,378,4,1287.5,1287.5
988,,680,196326.2823,
988,18,97,12752.5716,
988,46,33,1223.73,
988,54,161,15176.7548,
988,58,2,37.98,
988,65,329,110925.4956,
988,99,277,97374.0345600001,
988,147,1170,1157711.72167998,
988,255,106,4964.46999999999,
988,325,31,3733.0108,
988,378,291,216920.1193,
988,379,12,121.18,
992,99,1,156.386,
992,147,2,1000.0,
993,378,1,1307.6,
997,99,2,742.1,
997,147,1,44.8,
1008,,1,25.0,
1008,46,1,17.0,
1010,147,1,212.1,
1014,147,1,61.2,
1014,378,3,447.4,
1015,54,2,409.2,
1015,147,1,471.9,
1015,255,1,218.76,
1015,378,1,1625.0,
1026,147,1,41.8,
1027,,5,820.3,
1027,99,3,1204.8,
1027,147,1,62.4,
1027,378,11,4901.0,
1028,,4,1523.0,
1028,54,1,276.8,
1028,65,2,1815.0084,
1028,99,1,108.3402,
1028,147,6,5462.38,
1028,255,1,97.21,
1028,325,1,1625.0,
1028,378,1,206.5,
1038,,2,420.6698,
1038,255,1,34.06,
1038,378,2,1517.6,
1042,,3,1097.98,
1042,54,1,11.3,
1042,99,2,189.4,
1042,147,9,403.9303,
1042,378,6,2358.47,
1047,,2,594.7,
1047,147,1,444.5,
1047,325,1,1.8,
1048,,3,1924.5,885
1048,18,1,206.12,206.12
1048,65,2,2175.84,591.84
1048,147,6,6657.06,458
1048,378,4,5925.0,3840
1052,,1,79.4,
1052,147,7,304.9202,
1052,325,1,6.0,
1054,,2,1197.5,
1054,378,4,11558.4,
1060,,2,107.81,
1060,65,1,178.8,
1060,147,4,2100.86,
1060,378,1,310.8,
1064,,5,1107.52,
1064,65,2,2274.2226,
1064,99,2,252.0,
1064,147,12,10291.06,
1064,378,1,1367.5,
1066,325,1,9.0,
1066,378,1,502.5,
1070,,14,2678.42,132.0
1070,54,4,41.1,
1070,58,1,18.99,
1070,65,2,123.36,
1070,99,1,67.8996,
1070,147,6,297.2704,
1070,255,1,109.38,
1070,325,1,27500.0,
1070,378,23,11904.96,1012.64
1071,378,1,489.0,
1072,,697,70978.8979999998,9398.7094
1072,18,206,29180.8374,2057.201
1072,46,185,6060.5836,512.7236
1072,54,781,162507.1992,21623.81
1072,65,216,23778.087,5223.2356
1072,99,285,33389.2675999999,3156.8844
1072,147,1332,392812.878199997,44463.8067
1072,255,426,117257.026800001,10098.8808
1072,325,13,1114.5308,95.12
1072,378,205,329655.726,38936.33
1075,147,1,3.55,
1076,65,2,270.1,
1076,147,2,174.44,
1080,378,1,119.9,
1083,,1,78.0,
1083,18,1,147.8,
1086,378,1,1000.0,
1090,65,1,135.504,
1090,99,1,49.2096,
1094,65,1,23.88,
1094,147,1,180.3,
1094,378,2,1137.16,
1095,325,1,4.0,
1096,65,1,379.2,
1096,147,2,315.7,
1096,378,1,3260.0,
1098,,1,89.64,
1098,65,1,32.37,
1098,147,1,280.0,
1098,378,1,1000.0,
1101,54,1,43.7,
1101,147,2,34.86,
1104,18,1,92.0,
1104,378,1,156.57,
1105,58,2,556.5,
1107,99,1,199.71,
1107,147,3,182.97,
1116,,2,104.0,
1118,,1,402.28,
1118,99,1,230.88,
1118,147,1,1291.25,
1119,65,1,423.12,
1119,147,1,169.0,
1140,147,1,329.28,
1142,147,2,57.85,
1142,378,2,620.0,
1143,65,4,492.6796,239.78
1143,99,1,163.35,
1143,147,2,60.3,
1145,65,5,3315.3484,
1145,147,5,370.77,
1145,378,1,475.0,
1146,,2,1900.0,950
1146,65,1,418.8,
1146,147,1,10.0992,
1147,378,3,2736.2,
1149,,3,409.2004,
1149,54,1,10.38,
1149,58,1,304.3,
1149,99,1,95.6,
1149,378,3,1968.29,
1150,325,1,4.0,
1151,,1,12.02,
1151,378,3,2267.18,
1154,147,2,497.89,
1154,378,2,20770.0,
1157,,3,110.99,
1157,65,1,6.41,
1157,147,8,305.615,
1167,54,1,1.35,
1167,65,1,9.9996,
1167,147,2,156.5604,
1172,65,2,131.6924,
1172,99,1,97.14,
1172,147,6,478.7242,46.82
1172,325,1,17.8,
1172,378,3,360.96,
1173,,1,139.0,
1173,54,1,42.9,
1174,58,1,105.0,
1174,147,1,28.0,
1178,18,2,360.0,
1178,147,4,491.7897,
1179,,1,332.5,
1182,378,1,6282.0,
1192,147,4,467.89,
1192,325,1,47.0,
1192,378,1,113.4,
1199,147,2,666.36,
1202,378,1,340.2,
1216,378,1,542.5,
1218,,1,84.0,
1218,54,1,27.1,
1218,147,1,4.26,
1218,255,2,510.49,
1230,378,1,957.5,
1231,65,2,373.8684,
1232,,1,710.0,
1232,54,1,209.0,
1232,65,1,8.06,
1232,378,1,137.16,
1242,54,1,15.84,
1254,,4,2691.42,1960
1254,18,2,1095.0,393
1254,46,1,2.0,
1254,65,1,403.5,
1254,147,4,2116.84,1171.3
1254,255,1,663.2,
1254,378,2,1671.8,
1255,378,1,479.4,
1256,,3,4726.0,2950
1256,18,1,1620.0,1620
1256,46,2,2770.9,
1256,65,6,6006.686,
1256,147,13,26842.0408,3600
1256,378,15,16617.2,981.4
1259,,2,111.6,55.8
1259,54,1,5.08,
1259,147,2,9.82,
1259,378,4,381.5,160.4
1260,58,1,365.0,
1260,65,2,648.72,
1260,378,1,675.0,
1264,,5,192.46,
1264,18,1,3.8,
1264,46,1,1.9,
1264,54,1,5.5,
1264,65,1,41.29,
1264,147,3,87.4,
1264,255,1,55.58,
1264,378,2,153.54,
1265,,1,3.28,
1265,99,1,450.0,
1265,147,6,1044.14,
1265,378,3,1092.2,
1266,54,1,1.68,
1266,255,1,5.81,
1271,147,3,1782.18,
1272,65,1,359.2032,
1274,147,1,343.0,
1274,378,2,781.0,
1276,,1,208.98,
1276,65,1,189.6,
1276,99,3,391.6596,
1276,147,2,36.44,
1283,,1,27.68,
1283,18,1,33.57,
1283,46,1,5.2,
1283,54,2,17.49,
1283,65,1,39.78,
1283,147,2,164.13,
1289,378,3,1446.5598,
1290,,2,593.4,
1290,65,1,54.0,
1290,147,2,840.2,
1294,,2,6074.0,
1294,99,3,5863.0,
1294,147,23,16137.52,953.52
1299,,5,435.2816,
1299,18,2,112.4,
1299,65,4,3341.0828,
1299,147,2,39.92,
1299,325,2,139.2,
1299,378,2,3097.6,
1300,,47,5772.2048,648
1300,18,2,49.4,
1300,46,2,684.0,
1300,65,3,2700.88,
1300,99,1,90.0,
1300,147,76,5862.25763,
1300,378,69,103864.72,4663.25
1303,58,1,18.25,
1307,,1,163.0,
1307,65,3,1049.9668,
1307,147,6,608.3522,
1307,378,10,4910.0,
1311,,1,4.59,
1311,99,1,55.96,
1311,147,8,1021.5928,
1311,378,4,350.14,
1318,,2,51.78,
1318,65,2,524.7168,
1320,,4,88.58,
1320,65,5,480.9318,
1320,99,2,63.74,
1320,147,19,2017.1276,
1320,325,3,146.5,
1320,378,9,1603.22,
1321,,7,1763.2,
1321,65,1,1650.0,
1321,378,4,2598.1,
1324,378,2,1759.07,
1327,,1,202.0,
1327,18,1,7.54,
1327,54,4,69.59,
1327,65,3,313.3392,
1327,99,2,713.8599,
1327,147,5,167.36,
1327,325,2,97.9,
1327,378,1,20.28,
1331,,1,275.0,
1331,65,1,149.8008,
1333,147,4,6447.4,
1337,,1,20.7,
1337,65,1,117.52,
1337,147,3,388.98,
1346,,1,214.0212,214.0212
1346,99,1,86.9472,86.9472
1346,147,1,187.1672,187.1672
1347,99,1,246.6,
1349,,1,69.525,
1349,65,2,224.83,
1349,147,2,378.28995,
1349,378,1,440.0,
1351,65,2,669.1992,
1353,,1,62.05,
1353,378,3,1097.8,
1356,147,1,18.92,
1356,378,2,299.2,
1359,65,1,99.2064,
1359,147,1,305.5,
1361,65,5,606.1404,
1361,99,1,55.4013,
1361,147,2,800.0,
1366,,1,68.4,
1366,147,2,84.0,
1366,378,3,310.9,
1375,,1,79.02,
1375,147,4,171.0602,
1375,325,1,1.8,
1375,378,1,122.0,
1376,378,1,1915.0,
1377,65,1,10.5,
1377,147,2,159.64,
1377,378,3,278.66,
1381,,72,6940.008,
1381,65,134,7990.2572,
1381,99,11,712.0,
1381,147,56,10631.3508,
1381,378,52,32802.03,
1385,65,1,20.9,
1386,65,1,62.1216,
1388,,3,641.7,
1388,65,2,235.08,
1388,378,1,483.0,
1389,65,4,294.0792,
1392,,3,111.63,
1392,99,2,248.48,
1392,147,9,3548.1992,823.882
1392,378,3,547.82,
1397,147,1,4561.7,
1398,,2,257.8,
1398,147,2,90.08,
1401,,1,25.99,
1401,147,2,100.68,
1402,,1,335.8,
1402,378,2,2094.8,
1407,99,1,335.76,
1407,147,2,9164.36,
1407,378,2,390.52,
1411,65,1,8.05,
1415,147,1,15.47,
1417,147,5,283.84,
1417,378,4,1404.8,
1418,,1,93.61,
1418,65,1,46.5912,
1418,147,2,234.6902,
1419,147,1,279.44,
1421,,1,181.0,
1421,147,2,490.2,
1422,,5,304.8,255.0
1422,18,1,167.67,
1422,54,1,9.0,
1422,58,2,1234.2,
1422,147,5,2433.49,
1422,378,14,4776.94,3506.98
1426,18,4,15.4,
1426,54,13,347.25,
1426,65,3,169.9794,
1426,147,1,155.25,
1426,255,9,723.44,
1428,255,1,607.05,
1431,,11,785.44,493.02
1431,18,2,113.44,
1431,54,3,67.46,
1431,65,3,190.04,78.72
1431,99,8,725.7295,166.32
1431,147,23,6479.4196,2354.31
1431,255,1,30.5,
1431,325,2,174.96,
1431,378,27,15364.17,6317.08
1434,325,1,30.0,
1435,,1,375.0,
1435,18,1,389.0,
1435,99,2,242.0004,
1435,147,1,271.37,
1437,,4,6343.92,
1437,18,1,692.23,
1437,54,1,6031.06,
1437,147,2,2618.0,
1437,255,1,2872.1,
1437,378,3,20245.9,
1441,,1,943.944,
1441,147,2,37.56,
1442,378,1,675.0,
1446,,20,4042.2854,
1446,65,4,65.71,
1446,147,50,23039.45178,
1446,378,19,11377.47,
1447,,1,68.5,
1447,65,1,56.4396,
1447,147,1,179.3,
1451,147,3,100.9402,
1451,378,2,655.0,
1456,,243,155041.3897,76109.5316
1456,18,21,9053.1,
1456,46,1,20.9,
1456,65,12,1639.77,
1456,99,35,28102.54964,8070.5
1456,147,492,610979.083600001,138078.53
1456,325,7,2468.1484,
1456,378,177,252846.245,176548.36
1458,65,1,82.5,
1458,147,2,872.93,
1458,378,1,437.5,
