id,name,updated_at,level,lft,parent_id,rght,tree_id,slug,slug_list
156,Peixes e Carnes em Conserva,2019-10-30 23:44:08.850271+00,2,103,148,104,24,peixes-e-carnes-em-conserva,"mercearia,mercearia/conservas-e-enlatados,mercearia/conservas-e-enlatados/peixes-e-carnes-em-conserva"
651,Aves,2019-10-29 22:02:39.835549+00,1,2,378,23,6,aves,"carnes-aves-e-peixes,carnes-aves-e-peixes/aves"
126,Outros Frios e Embutidos,2019-10-30 21:29:22.055362+00,2,7,121,8,16,outros-frios-e-embutidos,"frios-e-laticinios,frios-e-laticinios/frios-e-embutidos,frios-e-laticinios/frios-e-embutidos/outros-frios-e-embutidos"
229,Massa para Pizza,2019-10-31 00:39:18.745699+00,2,213,209,214,24,massa-para-pizza,"mercearia,mercearia/massas-e-molhos,mercearia/massas-e-molhos/massa-para-pizza"
680,Costela,2019-10-31 03:37:30.52605+00,2,57,653,58,6,costela,"carnes-aves-e-peixes,carnes-aves-e-peixes/carne-suina,carnes-aves-e-peixes/carne-suina/costela"
412,Limpador de Forno e Desengordurantes,2019-10-30 18:30:13.291984+00,2,13,408,14,33,limpador-de-forno-e-desengordurantes,"produtos-de-limpeza,produtos-de-limpeza/limpeza-de-cozinha,produtos-de-limpeza/limpeza-de-cozinha/limpador-de-forno-e-desengordurantes"
122,Mortadela,2019-10-30 19:44:45.636338+00,2,5,121,6,16,mortadela,"frios-e-laticinios,frios-e-laticinios/frios-e-embutidos,frios-e-laticinios/frios-e-embutidos/mortadela"
679,Copa Lombo,2019-10-30 19:48:44.583808+00,2,55,653,56,6,copa-lombo,"carnes-aves-e-peixes,carnes-aves-e-peixes/carne-suina,carnes-aves-e-peixes/carne-suina/copa-lombo"
171,Farinha de Trigo Integral,2019-10-30 19:57:23.37505+00,2,145,167,146,24,farinha-de-trigo-integral,"mercearia,mercearia/farinha,mercearia/farinha/farinha-de-trigo-integral"
426,Acessórios,2019-10-29 18:35:53.034052+00,2,53,425,54,14,acessorios,"equipamentos-e-utensilios,equipamentos-e-utensilios/utensilios-para-cozinha,equipamentos-e-utensilios/utensilios-para-cozinha/acessorios"
90,Água Tônica,2019-10-30 19:52:40.87496+00,2,51,87,52,2,agua-tonica,"bebidas,bebidas/bebidas-nao-alcoolicas,bebidas/bebidas-nao-alcoolicas/agua-tonica"
84,Vinho,2019-10-31 01:29:19.115117+00,2,39,66,40,2,vinho,"bebidas,bebidas/bebidas-alcoolicas,bebidas/bebidas-alcoolicas/vinho"
671,Coxão Duro,2019-10-30 21:21:35.184021+00,2,35,652,36,6,coxao-duro,"carnes-aves-e-peixes,carnes-aves-e-peixes/carne-bovina,carnes-aves-e-peixes/carne-bovina/coxao-duro"
652,Carne Bovina,2019-10-30 22:07:06.33136+00,1,24,378,51,6,carne-bovina,"carnes-aves-e-peixes,carnes-aves-e-peixes/carne-bovina"
93,Groselha,2019-10-30 19:54:38.159583+00,2,59,87,60,2,groselha,"bebidas,bebidas/bebidas-nao-alcoolicas,bebidas/bebidas-nao-alcoolicas/groselha"
248,Caldos,2019-10-30 19:48:41.702512+00,2,249,242,250,24,caldos,"mercearia,mercearia/temperos-e-condimentos,mercearia/temperos-e-condimentos/caldos"
531,"Lápis, Lapiseira e Grafite",2019-10-31 02:07:16.475981+00,2,17,525,18,31,lapis-lapiseira-e-grafite,"papelaria-e-escritorio,papelaria-e-escritorio/escolar,papelaria-e-escritorio/escolar/lapis-lapiseira-e-grafite"
189,Feijão Preto,2019-10-30 19:49:51.36452+00,2,167,184,168,24,feijao-preto,"mercearia,mercearia/feijao,mercearia/feijao/feijao-preto"
403,Lava Roupa em Pó,2019-10-30 12:50:03.994275+00,2,27,400,28,33,lava-roupa-em-po,"produtos-de-limpeza,produtos-de-limpeza/limpeza-de-roupas,produtos-de-limpeza/limpeza-de-roupas/lava-roupa-em-po"
127,Lácteos,2019-10-30 20:56:28.406072+00,1,16,99,27,16,lacteos,"frios-e-laticinios,frios-e-laticinios/lacteos"
58,Papelaria e Escritório,2019-10-31 03:22:06.128152+00,0,1,,102,31,papelaria-e-escritorio,papelaria-e-escritorio
555,Grampos para Grampeadores,2019-10-30 12:48:40.605994+00,2,63,536,64,31,grampos-para-grampeadores,"papelaria-e-escritorio,papelaria-e-escritorio/escritorio,papelaria-e-escritorio/escritorio/grampos-para-grampeadores"
542,Bobinas,2019-10-30 12:49:13.676078+00,2,39,536,40,31,bobinas,"papelaria-e-escritorio,papelaria-e-escritorio/escritorio,papelaria-e-escritorio/escritorio/bobinas"
602,Acessórios,2019-10-30 12:51:00.170748+00,1,2,585,33,36,acessorios,"roupas-e-uniformes,roupas-e-uniformes/acessorios"
322,Lenços de Papel,2019-10-30 12:51:22.293206+00,2,133,319,134,19,lencos-de-papel,"higiene-pessoal-e-perfumaria,higiene-pessoal-e-perfumaria/saude,higiene-pessoal-e-perfumaria/saude/lencos-de-papel"
722,Bebidas a Base de Soja,2019-10-29 17:14:12.329679+00,2,53,87,54,2,bebidas-a-base-de-soja,"bebidas,bebidas/bebidas-nao-alcoolicas,bebidas/bebidas-nao-alcoolicas/bebidas-a-base-de-soja"
410,Esponja e Lã de Aço,2019-10-31 00:06:46.329069+00,2,11,408,12,33,esponja-e-la-de-aco,"produtos-de-limpeza,produtos-de-limpeza/limpeza-de-cozinha,produtos-de-limpeza/limpeza-de-cozinha/esponja-e-la-de-aco"
654,Peixes e Frutos do Mar,2019-10-31 00:14:22.315837+00,1,72,378,105,6,peixes-e-frutos-do-mar,"carnes-aves-e-peixes,carnes-aves-e-peixes/peixes-e-frutos-do-mar"
538,Apagadores,2019-10-30 12:51:35.795302+00,2,31,536,32,31,apagadores,"papelaria-e-escritorio,papelaria-e-escritorio/escritorio,papelaria-e-escritorio/escritorio/apagadores"
661,Sassami de Frango,2019-10-30 20:33:17.430352+00,2,19,651,20,6,sassami-de-frango,"carnes-aves-e-peixes,carnes-aves-e-peixes/aves,carnes-aves-e-peixes/aves/sassami-de-frango"
89,Água Mineral,2019-10-31 02:17:21.54006+00,2,49,87,50,2,agua-mineral,"bebidas,bebidas/bebidas-nao-alcoolicas,bebidas/bebidas-nao-alcoolicas/agua-mineral"
549,Elástico de Borracha,2019-10-30 12:49:09.641038+00,2,51,536,52,31,elastico-de-borracha,"papelaria-e-escritorio,papelaria-e-escritorio/escritorio,papelaria-e-escritorio/escritorio/elastico-de-borracha"
547,Clips,2019-10-30 12:56:15.830316+00,2,47,536,48,31,clips,"papelaria-e-escritorio,papelaria-e-escritorio/escritorio,papelaria-e-escritorio/escritorio/clips"
741,"Asa, Tulipa e Coxinha de Frango",2019-10-29 23:22:28.352617+00,2,5,651,6,6,asa-tulipa-e-coxinha-de-frango,"carnes-aves-e-peixes,carnes-aves-e-peixes/aves,carnes-aves-e-peixes/aves/asa-tulipa-e-coxinha-de-frango"
619,Acendedor para Fogão,2019-10-30 16:48:18.723979+00,1,2,14,3,40,acendedor-para-fogao,"velas-e-acendedores,velas-e-acendedores/acendedor-para-fogao"
708,Banhas,2019-10-30 19:42:56.19572+00,2,225,178,226,24,banhas,"mercearia,mercearia/oleos-gorduras-e-banhas,mercearia/oleos-gorduras-e-banhas/banhas"
124,Presuntos e Apresuntado,2019-10-30 21:09:39.317133+00,2,11,121,12,16,presuntos-e-apresuntado,"frios-e-laticinios,frios-e-laticinios/frios-e-embutidos,frios-e-laticinios/frios-e-embutidos/presuntos-e-apresuntado"
451,Pá para Lixo,2019-10-30 12:46:46.087552+00,2,37,442,38,14,pa-para-lixo,"equipamentos-e-utensilios,equipamentos-e-utensilios/utensilios-domesticos,equipamentos-e-utensilios/utensilios-domesticos/pa-para-lixo"
374,Frutas Secas e Oleagionosas,2019-10-30 19:50:37.058776+00,1,26,325,27,20,frutas-secas-e-oleagionosas,"hortifruti,hortifruti/frutas-secas-e-oleagionosas"
323,Papel Higiênico,2019-10-30 12:47:18.161905+00,2,135,319,136,19,papel-higienico,"higiene-pessoal-e-perfumaria,higiene-pessoal-e-perfumaria/saude,higiene-pessoal-e-perfumaria/saude/papel-higienico"
94,Isotônicos e Hidrotônicos,2019-10-30 19:51:40.180907+00,2,61,87,62,2,isotonicos-e-hidrotonicos,"bebidas,bebidas/bebidas-nao-alcoolicas,bebidas/bebidas-nao-alcoolicas/isotonicos-e-hidrotonicos"
77,Licor,2019-10-30 19:51:48.398846+00,2,25,66,26,2,licor,"bebidas,bebidas/bebidas-alcoolicas,bebidas/bebidas-alcoolicas/licor"
703,Linguiças,2019-10-30 21:16:34.124441+00,2,67,655,68,6,linguicas,"carnes-aves-e-peixes,carnes-aves-e-peixes/linguicas-e-salsichas,carnes-aves-e-peixes/linguicas-e-salsichas/linguicas"
554,Grampeadores,2019-10-30 12:49:15.272384+00,2,61,536,62,31,grampeadores,"papelaria-e-escritorio,papelaria-e-escritorio/escritorio,papelaria-e-escritorio/escritorio/grampeadores"
551,Estilete,2019-10-30 12:49:28.083342+00,2,55,536,56,31,estilete,"papelaria-e-escritorio,papelaria-e-escritorio/escritorio,papelaria-e-escritorio/escritorio/estilete"
662,Frango a Passarinho,2019-10-30 19:59:27.092956+00,2,13,651,14,6,frango-a-passarinho,"carnes-aves-e-peixes,carnes-aves-e-peixes/aves,carnes-aves-e-peixes/aves/frango-a-passarinho"
165,Cápsulas,2019-10-30 12:49:29.467162+00,2,85,162,86,24,capsulas,"mercearia,mercearia/cafe,mercearia/cafe/capsulas"
123,Salames,2019-10-30 21:29:25.121467+00,2,13,121,14,16,salames,"frios-e-laticinios,frios-e-laticinios/frios-e-embutidos,frios-e-laticinios/frios-e-embutidos/salames"
659,Coxa e Sobrecoxa de Frango,2019-10-30 22:18:41.143972+00,2,9,651,10,6,coxa-e-sobrecoxa-de-frango,"carnes-aves-e-peixes,carnes-aves-e-peixes/aves,carnes-aves-e-peixes/aves/coxa-e-sobrecoxa-de-frango"
678,Bisteca,2019-10-30 19:56:47.54675+00,2,53,653,54,6,bisteca,"carnes-aves-e-peixes,carnes-aves-e-peixes/carne-suina,carnes-aves-e-peixes/carne-suina/bisteca"
399,Removedores,2019-10-30 12:48:14.338169+00,2,59,389,60,33,removedores,"produtos-de-limpeza,produtos-de-limpeza/limpeza-geral,produtos-de-limpeza/limpeza-geral/removedores"
663,Frango Inteiro,2019-10-30 20:00:01.464306+00,2,15,651,16,6,frango-inteiro,"carnes-aves-e-peixes,carnes-aves-e-peixes/aves,carnes-aves-e-peixes/aves/frango-inteiro"
169,Farinha de Milho e Mandioca,2019-10-30 19:45:40.669253+00,2,139,167,140,24,farinha-de-milho-e-mandioca,"mercearia,mercearia/farinha,mercearia/farinha/farinha-de-milho-e-mandioca"
677,Patinho,2019-10-30 20:02:43.992324+00,2,47,652,48,6,patinho,"carnes-aves-e-peixes,carnes-aves-e-peixes/carne-bovina,carnes-aves-e-peixes/carne-bovina/patinho"
132,Requeijão,2019-10-30 21:24:10.982714+00,2,25,127,26,16,requeijao,"frios-e-laticinios,frios-e-laticinios/lacteos,frios-e-laticinios/lacteos/requeijao"
39,Produtos Diversos,2019-10-30 19:48:24.576542+00,0,1,,6,34,produtos-diversos,produtos-diversos
70,Cerveja,2019-10-31 03:24:40.685967+00,2,9,66,10,2,cerveja,"bebidas,bebidas/bebidas-alcoolicas,bebidas/bebidas-alcoolicas/cerveja"
82,Steinhaeger,2019-10-30 21:44:48.291106+00,2,33,66,34,2,steinhaeger,"bebidas,bebidas/bebidas-alcoolicas,bebidas/bebidas-alcoolicas/steinhaeger"
510,Papel Alumínio,2019-10-30 12:51:10.330487+00,2,91,507,92,12,papel-aluminio,"embalagens-e-descartaveis,embalagens-e-descartaveis/papel-descartavel,embalagens-e-descartaveis/papel-descartavel/papel-aluminio"
660,Filé de Peito,2019-10-30 19:49:27.126469+00,2,11,651,12,6,file-de-peito,"carnes-aves-e-peixes,carnes-aves-e-peixes/aves,carnes-aves-e-peixes/aves/file-de-peito"
81,Saquê,2019-10-30 21:48:18.228643+00,2,31,66,32,2,saque,"bebidas,bebidas/bebidas-alcoolicas,bebidas/bebidas-alcoolicas/saque"
112,Queijo Provolone,2019-10-31 01:46:57.305586+00,2,65,100,66,16,queijo-provolone,"frios-e-laticinios,frios-e-laticinios/queijos,frios-e-laticinios/queijos/queijo-provolone"
107,Queijo Gouda,2019-10-30 19:43:23.983047+00,2,53,100,54,16,queijo-gouda,"frios-e-laticinios,frios-e-laticinios/queijos,frios-e-laticinios/queijos/queijo-gouda"
582,Banqueta,2019-10-30 10:49:17.31117+00,1,4,36,5,25,banqueta,"moveis,moveis/banqueta"
182,Óleo de Milho,2019-10-30 21:56:43.89517+00,2,235,178,236,24,oleo-de-milho,"mercearia,mercearia/oleos-gorduras-e-banhas,mercearia/oleos-gorduras-e-banhas/oleo-de-milho"
653,Carne Suína,2019-10-30 19:51:02.932422+00,1,52,378,65,6,carne-suina,"carnes-aves-e-peixes,carnes-aves-e-peixes/carne-suina"
664,Peito de Frango,2019-10-30 19:06:03.576323+00,2,17,651,18,6,peito-de-frango,"carnes-aves-e-peixes,carnes-aves-e-peixes/aves,carnes-aves-e-peixes/aves/peito-de-frango"
247,Temperos Prontos,2019-10-30 23:46:46.435759+00,2,261,242,262,24,temperos-prontos,"mercearia,mercearia/temperos-e-condimentos,mercearia/temperos-e-condimentos/temperos-prontos"
729,Amaciante de Carnes,2019-10-30 19:50:11.516989+00,2,245,242,246,24,amaciante-de-carnes,"mercearia,mercearia/temperos-e-condimentos,mercearia/temperos-e-condimentos/amaciante-de-carnes"
700,Sardinha,2019-10-30 14:09:16.759321+00,2,99,654,100,6,sardinha,"carnes-aves-e-peixes,carnes-aves-e-peixes/peixes-e-frutos-do-mar,carnes-aves-e-peixes/peixes-e-frutos-do-mar/sardinha"
655,Linguiças e Salsichas,2019-10-30 16:01:06.999682+00,1,66,378,71,6,linguicas-e-salsichas,"carnes-aves-e-peixes,carnes-aves-e-peixes/linguicas-e-salsichas"
681,Filé Mignon Suíno,2019-10-25 19:53:24.696018+00,2,59,653,60,6,file-mignon-suino,"carnes-aves-e-peixes,carnes-aves-e-peixes/carne-suina,carnes-aves-e-peixes/carne-suina/file-mignon-suino"
244,Azeites,2019-10-30 23:04:31.270095+00,2,247,242,248,24,azeites,"mercearia,mercearia/temperos-e-condimentos,mercearia/temperos-e-condimentos/azeites"
699,Salmão,2019-10-30 17:08:41.184795+00,2,97,654,98,6,salmao,"carnes-aves-e-peixes,carnes-aves-e-peixes/peixes-e-frutos-do-mar,carnes-aves-e-peixes/peixes-e-frutos-do-mar/salmao"
697,Polvo,2019-10-29 23:15:08.059618+00,2,93,654,94,6,polvo,"carnes-aves-e-peixes,carnes-aves-e-peixes/peixes-e-frutos-do-mar,carnes-aves-e-peixes/peixes-e-frutos-do-mar/polvo"
698,Porquinho,2019-10-31 03:30:35.859926+00,2,95,654,96,6,porquinho,"carnes-aves-e-peixes,carnes-aves-e-peixes/peixes-e-frutos-do-mar,carnes-aves-e-peixes/peixes-e-frutos-do-mar/porquinho"
110,Queijo Parmesão,2019-10-30 21:24:18.996313+00,2,61,100,62,16,queijo-parmesao,"frios-e-laticinios,frios-e-laticinios/queijos,frios-e-laticinios/queijos/queijo-parmesao"
102,Queijo Cheddar,2019-10-31 01:12:17.474543+00,2,45,100,46,16,queijo-cheddar,"frios-e-laticinios,frios-e-laticinios/queijos,frios-e-laticinios/queijos/queijo-cheddar"
183,Óleo de Soja,2019-10-30 19:44:24.252348+00,2,237,178,238,24,oleo-de-soja,"mercearia,mercearia/oleos-gorduras-e-banhas,mercearia/oleos-gorduras-e-banhas/oleo-de-soja"
742,Trigo para Kibe,2019-10-30 19:48:46.938621+00,2,173,177,174,24,trigo-para-kibe,"mercearia,mercearia/graos-e-sementes,mercearia/graos-e-sementes/trigo-para-kibe"
105,Queijo Minas Frescal,2019-10-30 19:43:20.344766+00,2,55,100,56,16,queijo-minas-frescal,"frios-e-laticinios,frios-e-laticinios/queijos,frios-e-laticinios/queijos/queijo-minas-frescal"
215,Macarrão Conchiglione,2019-10-30 01:03:39.451326+00,2,187,209,188,24,macarrao-conchiglione,"mercearia,mercearia/massas-e-molhos,mercearia/massas-e-molhos/macarrao-conchiglione"
702,Truta,2019-10-24 17:38:53.178577+00,2,103,654,104,6,truta,"carnes-aves-e-peixes,carnes-aves-e-peixes/peixes-e-frutos-do-mar,carnes-aves-e-peixes/peixes-e-frutos-do-mar/truta"
175,Tapioca,2019-10-30 20:00:37.255285+00,2,159,167,160,24,tapioca,"mercearia,mercearia/farinha,mercearia/farinha/tapioca"
665,Sobrecoxa de Frango,2019-10-29 20:12:55.752003+00,2,21,651,22,6,sobrecoxa-de-frango,"carnes-aves-e-peixes,carnes-aves-e-peixes/aves,carnes-aves-e-peixes/aves/sobrecoxa-de-frango"
682,Lombo,2019-10-30 10:49:28.205037+00,2,61,653,62,6,lombo,"carnes-aves-e-peixes,carnes-aves-e-peixes/carne-suina,carnes-aves-e-peixes/carne-suina/lombo"
111,Queijo Prato,2019-10-30 19:43:21.790918+00,2,63,100,64,16,queijo-prato,"frios-e-laticinios,frios-e-laticinios/queijos,frios-e-laticinios/queijos/queijo-prato"
109,Queijo Minas (Padrão),2019-10-30 14:30:06.248126+00,2,57,100,58,16,queijo-minas-padrao,"frios-e-laticinios,frios-e-laticinios/queijos,frios-e-laticinios/queijos/queijo-minas-padrao"
73,Coquetel,2019-10-30 21:40:45.697209+00,2,17,66,18,2,coquetel,"bebidas,bebidas/bebidas-alcoolicas,bebidas/bebidas-alcoolicas/coquetel"
91,Chás Prontos,2019-10-30 22:20:37.74558+00,2,55,87,56,2,chas-prontos,"bebidas,bebidas/bebidas-nao-alcoolicas,bebidas/bebidas-nao-alcoolicas/chas-prontos"
113,Queijo Ricota,2019-10-30 19:49:00.295014+00,2,67,100,68,16,queijo-ricota,"frios-e-laticinios,frios-e-laticinios/queijos,frios-e-laticinios/queijos/queijo-ricota"
632,Cestas Alimentícias,2019-10-30 02:07:27.324279+00,0,1,,6,8,cestas-alimenticias,cestas-alimenticias
390,Álcool,2019-10-30 19:56:24.514192+00,2,39,389,40,33,alcool,"produtos-de-limpeza,produtos-de-limpeza/limpeza-geral,produtos-de-limpeza/limpeza-geral/alcool"
135,Açaí,2019-10-30 12:41:34.536831+00,1,2,52,3,10,acai,"congelados,congelados/acai"
213,Macarrão Caracol e Caracolinho,2019-10-28 19:05:36.611899+00,2,183,209,184,24,macarrao-caracol-e-caracolinho,"mercearia,mercearia/massas-e-molhos,mercearia/massas-e-molhos/macarrao-caracol-e-caracolinho"
720,Cerveja Artesanal,2019-10-31 01:20:29.301536+00,2,11,66,12,2,cerveja-artesanal,"bebidas,bebidas/bebidas-alcoolicas,bebidas/bebidas-alcoolicas/cerveja-artesanal"
208,Chás,2019-10-30 14:00:11.589872+00,1,88,147,89,24,chas,"mercearia,mercearia/chas"
721,Vermute,2019-10-30 19:52:56.214315+00,2,37,66,38,2,vermute,"bebidas,bebidas/bebidas-alcoolicas,bebidas/bebidas-alcoolicas/vermute"
634,Cestas de Natal,2019-10-27 10:37:23.055368+00,1,4,632,5,8,cestas-de-natal,"cestas-alimenticias,cestas-alimenticias/cestas-de-natal"
656,"Secas, Salgadas e Defumadas",2019-10-29 14:46:14.183662+00,1,106,378,111,6,secas-salgadas-e-defumadas,"carnes-aves-e-peixes,carnes-aves-e-peixes/secas-salgadas-e-defumadas"
633,Cestas Básicas,2019-10-30 18:13:08.146714+00,1,2,632,3,8,cestas-basicas,"cestas-alimenticias,cestas-alimenticias/cestas-basicas"
666,Acém,2019-10-30 19:57:03.202485+00,2,25,652,26,6,acem,"carnes-aves-e-peixes,carnes-aves-e-peixes/carne-bovina,carnes-aves-e-peixes/carne-bovina/acem"
52,Congelados,2019-10-31 02:45:47.502262+00,0,1,,30,10,congelados,congelados
503,Talheres Descartáveis,2019-10-30 12:45:28.958029+00,1,124,18,131,12,talheres-descartaveis,"embalagens-e-descartaveis,embalagens-e-descartaveis/talheres-descartaveis"
145,Polpas e Frutas,2019-10-30 12:50:45.419503+00,1,20,52,21,10,polpas-e-frutas,"congelados,congelados/polpas-e-frutas"
98,Xarope e Purê de Frutas,2019-10-30 22:32:14.33254+00,2,69,87,70,2,xarope-e-pure-de-frutas,"bebidas,bebidas/bebidas-nao-alcoolicas,bebidas/bebidas-nao-alcoolicas/xarope-e-pure-de-frutas"
141,Pizzas,2019-10-26 11:29:14.854838+00,1,16,52,17,10,pizzas,"congelados,congelados/pizzas"
718,Filme de PVC,2019-10-30 12:50:52.190204+00,1,36,18,37,12,filme-de-pvc,"embalagens-e-descartaveis,embalagens-e-descartaveis/filme-de-pvc"
501,Sacos Plástico,2019-10-30 12:45:43.282047+00,2,121,496,122,12,sacos-plastico,"embalagens-e-descartaveis,embalagens-e-descartaveis/sacos-e-sacolas,embalagens-e-descartaveis/sacos-e-sacolas/sacos-plastico"
517,Prato Descartável,2019-10-30 12:51:40.601849+00,1,108,18,109,12,prato-descartavel,"embalagens-e-descartaveis,embalagens-e-descartaveis/prato-descartavel"
142,Salgados,2019-10-31 01:00:22.158269+00,1,22,52,23,10,salgados,"congelados,congelados/salgados"
683,Pernil,2019-10-30 06:27:07.800732+00,2,63,653,64,6,pernil,"carnes-aves-e-peixes,carnes-aves-e-peixes/carne-suina,carnes-aves-e-peixes/carne-suina/pernil"
709,Máscaras,2019-10-30 12:48:39.234274+00,1,72,18,73,12,mascaras,"embalagens-e-descartaveis,embalagens-e-descartaveis/mascaras"
649,Salgadinhos e Snacks,2019-10-30 19:36:59.027954+00,2,69,202,70,24,salgadinhos-e-snacks,"mercearia,mercearia/biscoitos-torradas-e-salgadinhos,mercearia/biscoitos-torradas-e-salgadinhos/salgadinhos-e-snacks"
496,Sacos e Sacolas,2019-10-30 12:48:41.60226+00,1,110,18,123,12,sacos-e-sacolas,"embalagens-e-descartaveis,embalagens-e-descartaveis/sacos-e-sacolas"
92,Energético,2019-10-30 20:19:04.623246+00,2,57,87,58,2,energetico,"bebidas,bebidas/bebidas-nao-alcoolicas,bebidas/bebidas-nao-alcoolicas/energetico"
516,Papel Toalha,2019-10-30 23:47:49.92087+00,2,103,507,104,12,papel-toalha,"embalagens-e-descartaveis,embalagens-e-descartaveis/papel-descartavel,embalagens-e-descartaveis/papel-descartavel/papel-toalha"
719,Canudos Descartáveis,2019-10-30 19:50:27.700159+00,1,10,18,11,12,canudos-descartaveis,"embalagens-e-descartaveis,embalagens-e-descartaveis/canudos-descartaveis"
